"Id";"Référence";"Empreinte";"Quantité";"Désignation";"Fournisseur et réf";
1;"logo1,logo1";"logo cidco";2;"LOGO";;;
2;"D2";"D_SMC";1;"B550C";;;
3;"FID1,FID3,FID2,FID4,FID6,FID5";"Fiducial_0.75mm_Mask2.25mm";6;"Fiducial";;;
4;"C6";"C_1206_3216Metric";1;"0.1uf /50v";;;
5;"U1";"zed-f9p";1;"~";;;
6;"H4,H5,H3,H2,H6,H1";"MountingHole_2.7mm_M2.5_ISO7380_Pad";6;"MountingHole";;;
7;"R20,R3,R21,R4";"R_1206_3216Metric";4;"1k";;;
8;"R15,R12,R11";"R_1206_3216Metric";3;"100r";;;
9;"BT1";"BatteryHolder_Keystone_1058_1x2032";1;"Battery_Cell";;;
10;"R10";"R_2512_6332Metric";1;"0.033R/2W";;;
11;"C10";"C_1206_3216Metric";1;"1nf/2kv";;;
12;"C13";"CP_Elec_6.3x9.9";1;"100uf/16v";;;
13;"C7,C8";"C_1206_3216Metric";2;"4.7uf/50v";;;
14;"J14";"PinHeader_2x04_P2.54mm_Vertical";1;"Conn_02x04_Counter_Clockwise";;;
15;"J1";"JST_XH_B6B-XH-AM_1x06_P2.50mm_Vertical";1;"Conn_01x05";;;
16;"J11";"PinHeader_2x06_P2.54mm_Vertical";1;"Conn_02x05_Top_Bottom";;;
17;"J9";"PhoenixContact_MSTBVA_2,5_4-G-5,08_1x04_P5.08mm_Vertical";1;"Conn_01x03";;;
18;"F1";"Fuse_1206_3216Metric";1;"2A";;;
19;"Q2,Q3,Q1";"SOT-23";3;"2N7000";;;
20;"J3,J6,J4,J7";"JST_XH_B5B-XH-AM_1x05_P2.50mm_Vertical";4;"Conn_01x05";;;
21;"R16";"R_1206_3216Metric";1;"3.57k";;;
22;"U4";"SOP50P490X110-10N";1;"INA238AIDGSR";;;
23;"R1,R2,R23,R22";"R_1206_3216Metric";4;"4.7k";;;
24;"IC1";"SOIC127P600X206-8N";1;"HIH8130-021-001";;;
25;"JP3,JP1";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";2;"SolderJumper_2_Open";;;
26;"J5";"JST_XH_B5B-XH-AM_1x05_P2.50mm_Vertical";1;"Conn_01x06";;;
27;"C12";"C_1206_3216Metric";1;"100nf";;;
28;"J13";"JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical";1;"Conn_01x06";;;
29;"U8";"SOIC-8_3.9x4.9mm_P1.27mm";1;"DS3231MZ";;;
30;"L1";"L_1210_3225Metric";1;"2.2uH/4A";;;
31;"C19";"C_1206_3216Metric";1;"0.22uF";;;
32;"R17";"R_1206_3216Metric";1;"1.5K";;;
33;"J2";"JST_XH_B7B-XH-AM_1x07_P2.50mm_Vertical";1;"Conn_01x07";;;
34;"U2";"bno055";1;"~";;;
35;"C17";"C_1206_3216Metric";1;"100nF";;;
36;"C5,C9";"CP_Radial_D10.0mm_P5.00mm";2;"330uf/50v";;;
37;"PS1";"CONV_PDQE20-Q24-S5-D";1;"PDQE20-Q24-S5-D";;;
38;"J8";"PinSocket_2x20_P2.54mm_Vertical";1;"Raspberry_Pi_2_3";;;
