"Id";"Référence";"Empreinte";"Quantité";"Désignation";"Fournisseur et réf";
1;"J14";"PinHeader_2x04_P2.54mm_Vertical";1;"Conn_02x04_Counter_Clockwise";;;
2;"FID2,FID6,FID4,FID1,FID3,FID5";"Fiducial_0.75mm_Mask2.25mm";6;"Fiducial";;;
3;"J11";"PinHeader_2x06_P2.54mm_Vertical";1;"Conn_02x05_Top_Bottom";;;
4;"H5,H1";"MountingHole_2.7mm_M2.5_ISO7380_Pad";2;"MountingHole";;;
5;"logo1";"logo cidco";1;"LOGO";;;
6;"J1";"IDC-Header_2x03_P2.54mm_Vertical";1;"Conn_02x03_Top_Bottom";;;
7;"C1";"C_1206_3216Metric";1;"1uf";;;
8;"R2,R5,R3,R7,R1,R6,R4";"R_1206_3216Metric";7;"1k";;;
9;"F1";"Fuse_1206_3216Metric";1;"Fuse";;;
10;"Q2";"TO-252-2";1;"DMP3010LK3Q-13";;;
11;"Q1,Q6,Q4,Q3,Q5";"SOT-23";5;"2N7002";;;
12;"C2";"C_1206_3216Metric";1;"0.1uf";;;
13;"R8";"R_1206_3216Metric";1;"4.7k";;;
14;"U1";"SOIC-14_3.9x8.7mm_P1.27mm";1;"ATtiny424-SS";;;
